feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.32517824,0.027989414,0.047042776,0.03449188,0.27813545,-0.006502468
1,0.30448213,0.03423533,0.04368452,0.026349073,0.26079762,0.007886255
2,0.35658962,0.037062086,0.064060256,0.047134012,0.29252934,-0.010071926
3,0.30646405,0.024018649,0.03229419,0.022088489,0.27416986,0.0019301604
4,0.19925967,0.04182577,0.04386854,0.03247704,0.15539113,0.0093487315
5,0.3343099,0.050058533,0.056390185,0.04411719,0.2779197,0.0059413426
6,0.33595318,0.06542989,0.09190065,0.06767307,0.24405253,-0.0022431836
7,0.3429297,0.028386142,0.05267204,0.038013764,0.29025766,-0.009627622
8,0.13105763,0.007326734,0.022032741,0.013637366,0.1090249,-0.006310632
9,0.28906247,0.06171706,0.066264234,0.05475955,0.22279823,0.0069575086
10,0.2827161,0.047243983,0.07927489,0.061944984,0.2034412,-0.014701001
11,0.30777758,0.0039447853,0.0066622766,0.007960119,0.3011153,-0.004015334
12,0.3203425,0.028284721,0.03046574,0.024933107,0.28987676,0.0033516139
13,0.27959365,0.026432842,0.066015944,0.04781183,0.2135777,-0.021378987
14,0.31266722,0.0126227895,0.032043073,0.027210647,0.28062415,-0.014587858
15,0.26742557,0.017056152,0.043731023,0.021694556,0.22369455,-0.0046384037
16,0.2310924,0.031403355,0.047133483,0.034667455,0.18395892,-0.0032640994
17,0.27360678,0.03245342,0.038021237,0.027775962,0.23558554,0.0046774596
18,0.35145146,0.05780109,0.05544903,0.04096297,0.29600242,0.016838118
19,0.38754615,0.039590634,0.04151784,0.03042974,0.34602833,0.009160895
20,0.19507818,0.027467713,0.050509393,0.031609423,0.14456879,-0.0041417107
21,0.28945202,0.001102641,0.022600306,0.01771246,0.26685172,-0.01660982
22,0.2528401,0.0371512,0.05019819,0.02821066,0.2026419,0.008940538
23,0.27355295,0.03917197,0.06148975,0.041956484,0.21206321,-0.002784513
24,0.24993406,0.045071628,0.052086156,0.037759803,0.1978479,0.0073118247
25,0.18065171,0.012068884,0.013851767,0.011716944,0.16679995,0.00035194028
26,0.39611542,0.032563794,0.053423237,0.042319924,0.3426922,-0.009756129
27,0.2603597,0.0064273607,0.026215067,0.019060198,0.23414464,-0.0126328375
28,0.2474229,0.025867445,0.046109013,0.034168895,0.20131388,-0.00830145
29,0.37503034,0.053781323,0.05608221,0.035821516,0.31894812,0.017959807
30,0.31079736,0.047676228,0.053175658,0.031905178,0.2576217,0.01577105
31,0.25958,0.03819474,0.04108572,0.029542763,0.21849427,0.008651976
32,0.21695414,0.01918054,0.034854136,0.02437089,0.1821,-0.00519035
33,0.20591512,0.030758785,0.03585915,0.029672127,0.17005597,0.0010866579
34,0.25742355,0.04119825,0.05231111,0.029546555,0.20511244,0.011651695
35,0.22227456,0.024561562,0.02930035,0.027190572,0.19297421,-0.00262901
36,0.28718215,0.033930127,0.036994334,0.028899875,0.2501878,0.005030252
37,0.2948587,0.018972969,0.0380309,0.027054023,0.2568278,-0.008081054
38,0.22372995,0.057123076,0.063518405,0.048326276,0.16021155,0.0087968
39,0.5059484,0.02828197,0.06570163,0.04127044,0.4402468,-0.012988469
40,0.19144121,0.04685849,0.03506749,0.025017267,0.15637371,0.021841222
41,0.33766952,0.068454176,0.058230657,0.044456065,0.27943885,0.023998111
42,0.4357721,0.048745472,0.07395524,0.046341293,0.36181685,0.0024041794
43,0.2901418,0.06638154,0.07700932,0.062584,0.21313247,0.0037975386
44,0.33328688,0.06833962,0.0677256,0.047463957,0.26556128,0.020875666
