feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,1.1453549,0.6143046,0.749097,0.49732742,0.39625788,0.116977185
1,1.0366187,0.65257484,0.82519835,0.6111339,0.21142036,0.041440964
2,0.32588398,0.43810698,0.17482641,0.119478144,0.15105757,0.31862885
3,0.77553385,0.42199072,0.5904404,0.3968405,0.18509346,0.02515021
4,0.3415386,0.19066055,0.24299034,0.18477657,0.09854826,0.005883977
5,0.044188052,0.1177443,0.062478226,0.03986071,-0.018290173,0.07788359
6,-0.013109739,0.12377441,0.0053957254,0.00068373943,-0.018505465,0.12309067
7,0.047618985,0.03235548,0.031330694,0.024441969,0.016288292,0.007913511
8,0.091354094,0.09402002,0.07980237,0.055095725,0.011551723,0.03892429
9,-0.0031550701,0.14875858,0.008947579,0.0056524044,-0.01210265,0.14310618
10,0.060969196,0.1316592,0.047582846,0.033991136,0.01338635,0.09766806
11,0.054910563,0.024352828,0.028046042,0.020286916,0.026864521,0.004065912
12,0.059358906,0.04191731,0.041955046,0.03079341,0.01740386,0.011123899
13,0.18726969,0.17491072,0.13556539,0.0942015,0.051704302,0.08070923
14,0.38628626,0.24781197,0.34730163,0.25769463,0.038984627,-0.009882659
15,0.09978497,0.09521574,0.08495819,0.06420977,0.014826782,0.031005971
16,0.8960285,0.48854274,0.55213106,0.39125687,0.34389746,0.09728587
17,0.094702415,0.08852573,0.08311914,0.059471946,0.011583276,0.029053781
18,0.6226643,0.36970344,0.45534092,0.34556252,0.16732335,0.024140924
19,1.2287266,0.79855907,1.0578525,0.774161,0.17087412,0.024398088
20,0.04843838,-0.016842704,0.047695674,0.02797262,0.0007427074,-0.044815324
21,0.024072716,0.02589007,0.004674535,0.0078045665,0.01939818,0.018085502
22,-0.017175565,0.13065562,0.019711733,0.009564874,-0.036887296,0.12109074
23,0.16096026,0.121908076,0.13667706,0.10838871,0.0242832,0.013519369
24,0.0463977,0.04385184,0.034348413,0.030737227,0.012049288,0.013114614
