feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,1.1701418,0.40032312,0.58719724,0.38350385,0.5829446,0.016819268
1,0.29951844,0.13308895,0.15847294,0.11410324,0.1410455,0.018985704
2,0.19601248,0.087904304,0.08653605,0.064889185,0.10947643,0.02301512
3,1.6357726,0.40871024,0.5645302,0.40102974,1.0712423,0.0076805055
4,2.2560654,0.744821,0.884298,0.6370958,1.3717673,0.1077252
5,1.0558857,0.41439283,0.5535159,0.40347093,0.50236976,0.0109218955
6,0.089666285,0.069997735,0.06609216,0.056183707,0.023574121,0.013814028
7,1.4361793,0.5717011,0.66362864,0.5211417,0.77255064,0.0505594
8,0.11605685,0.09713836,0.0768343,0.065930724,0.039222553,0.031207636
9,0.16828802,0.053191464,0.065345034,0.04975115,0.10294299,0.003440313
10,1.0968695,0.49066812,0.5223998,0.35369855,0.5744697,0.13696957
11,3.4185572,1.2160816,1.2108469,0.8271144,2.2077103,0.38896722
12,2.151722,0.7882548,0.8839526,0.63954103,1.2677693,0.14871377
13,2.3035789,0.85337716,1.0972407,0.79073316,1.2063382,0.062644005
14,0.8855229,0.37597743,0.54300684,0.37208083,0.34251606,0.003896594
15,0.24739963,0.19568354,0.15058467,0.10948636,0.09681496,0.08619718
16,0.57844704,0.21427503,0.2630844,0.1837593,0.31536263,0.03051573
17,0.13122243,0.14389199,0.0835971,0.054189287,0.047625326,0.0897027
18,1.5621312,0.5993696,0.8302187,0.5776909,0.7319125,0.021678686
19,1.4853468,0.8080928,1.0158036,0.7764417,0.46954322,0.03165108
20,2.06482,0.9461032,1.1228449,0.8447315,0.9419751,0.101371706
21,1.2538058,0.53156835,0.7270179,0.54469204,0.5267879,-0.013123691
22,1.166767,0.39386338,0.5809943,0.42158228,0.5857727,-0.027718902
23,0.115656845,0.03886694,0.0774911,0.055668432,0.038165748,-0.016801491
24,0.94328266,0.24448118,0.35431942,0.24886432,0.58896327,-0.0043831468
25,0.07171444,0.01983689,0.04732189,0.03108468,0.024392549,-0.011247791
26,0.44943503,0.08578379,0.19167992,0.1111125,0.2577551,-0.02532871
27,0.41040686,0.22819807,0.232307,0.14795065,0.17809986,0.08024742
28,2.3733923,0.8787029,0.8959397,0.70030344,1.4774526,0.17839944
29,0.2033288,0.12131242,0.11955321,0.09657534,0.083775595,0.024737075
30,0.1950189,0.07934288,0.11667206,0.085996255,0.07834684,-0.006653376
31,0.051060673,0.10749141,0.057318162,0.03490917,-0.0062574893,0.072582245
32,0.037928972,-0.012452482,0.045134984,0.027897606,-0.0072060116,-0.040350087
33,1.5301436,0.61469245,0.8340599,0.6256746,0.6960837,-0.010982156
34,0.9957504,0.4258764,0.5504509,0.3815509,0.4452995,0.0443255
35,1.1814314,0.38968122,0.53751826,0.37777528,0.64391315,0.011905938
36,0.24976838,0.089643046,0.11806109,0.07339142,0.13170728,0.016251624
37,0.2688438,0.103440784,0.10784878,0.073863454,0.16099502,0.02957733
38,1.858637,0.75302434,0.86281717,0.652493,0.9958198,0.10053134
39,2.1629095,0.611651,0.8169166,0.5655539,1.3459929,0.0460971
40,1.9292184,0.71448416,0.9196107,0.62823236,1.0096078,0.086251795
41,2.6515791,0.983185,1.0524337,0.76515496,1.5991454,0.21803004
42,0.33799443,0.15500133,0.18798442,0.14727968,0.15001,0.0077216476
43,0.10114854,0.060153447,0.08823901,0.077312276,0.012909532,-0.017158829
44,1.8611506,0.37981293,0.5096672,0.34335732,1.3514833,0.0364556
45,1.5725802,0.75420964,0.8485012,0.60990095,0.724079,0.14430869
46,0.124253854,0.09117895,0.06737034,0.051524393,0.056883514,0.03965456
47,0.18101269,0.074021615,0.09539118,0.07095925,0.08562151,0.0030623674
48,1.0463989,0.38835326,0.47757426,0.33391374,0.56882465,0.054439515
49,1.0675104,0.4532056,0.6120152,0.40200686,0.45549518,0.05119872
50,0.23207077,0.205772,0.14393625,0.09976349,0.08813453,0.10600851
51,0.16336034,0.095421314,0.09601325,0.058786225,0.067347094,0.03663509
52,0.1820911,0.00037873274,0.08501171,0.050598968,0.09707939,-0.050220236
53,1.5655034,0.3701629,0.53611106,0.3786169,1.0293922,-0.008453995
54,1.130596,0.4411093,0.6104903,0.42619976,0.5201057,0.014909536
55,1.0155994,0.5178917,0.56856537,0.39651138,0.447034,0.12138033
56,2.7641509,0.90903306,1.0922483,0.80362254,1.6719025,0.105410516
57,0.7485694,0.27259395,0.39502183,0.2641955,0.3535476,0.008398443
58,0.3004646,0.14242597,0.16124122,0.121333525,0.13922338,0.021092445
59,1.9929076,0.60064363,0.6356937,0.4549984,1.357214,0.14564523
60,0.41643366,0.2234508,0.21745539,0.14935076,0.19897828,0.07410003
61,0.20507133,0.06679811,0.13818514,0.11411478,0.06688619,-0.04731667
62,1.4211575,0.49601734,0.6054777,0.44942492,0.8156798,0.046592414
63,0.5359426,0.17817253,0.2687633,0.18512373,0.2671793,-0.006951198
64,0.7193782,0.34562242,0.32970405,0.2410374,0.38967413,0.10458502
65,0.2782457,0.11301127,0.100892045,0.073704794,0.17735365,0.039306477
66,1.6571294,0.56323105,0.6524749,0.48963267,1.0046545,0.073598385
67,0.5365358,0.26862758,0.28850812,0.19720991,0.24802768,0.071417674
68,0.22234423,0.086112164,0.09676644,0.07055096,0.12557779,0.015561201
69,-0.0046269493,0.13106465,0.025568109,0.014627786,-0.030195057,0.11643687
70,0.10956122,0.02530656,0.03461247,0.019594643,0.07494875,0.005711917
71,-0.001974384,0.16019586,0.038468976,0.025424063,-0.04044336,0.1347718
72,0.22702923,0.0707051,0.14860769,0.1127545,0.07842155,-0.0420494
73,0.09365342,0.0054536047,0.08593901,0.05064438,0.0077144057,-0.045190774
74,1.0935812,0.47750914,0.5052884,0.37845916,0.5882928,0.099049985
75,0.109953925,0.05660482,0.056454323,0.03998235,0.0534996,0.016622473
76,0.8573723,0.47809747,0.50099397,0.3851811,0.35637832,0.09291637
77,1.9938657,0.9469925,1.0713533,0.8154669,0.9225124,0.13152564
78,0.31781322,0.13725571,0.14459808,0.09907884,0.17321514,0.03817687
79,1.1394027,0.5783739,0.8192962,0.5942911,0.32010657,-0.015917182
80,0.035393503,0.14928533,0.046273097,0.037602417,-0.010879595,0.111682914
81,0.0848685,0.022083618,0.04882463,0.03122287,0.036043867,-0.009139253
82,0.21949513,0.021561181,0.11856749,0.072164774,0.10092764,-0.05060359
83,0.11026846,0.046818916,0.057389457,0.039968178,0.052879002,0.006850738
84,0.30345342,0.111858785,0.105661646,0.08599979,0.19779177,0.025858998
85,0.4096403,0.2992192,0.2556947,0.18144418,0.15394562,0.11777501
86,0.54861075,0.205684,0.25480002,0.17981641,0.29381073,0.025867596
87,1.3425598,0.5177843,0.65152705,0.47730097,0.69103277,0.040483326
88,0.4909122,0.29322463,0.31071693,0.19764052,0.18019527,0.09558411
89,1.2529888,0.5351733,0.6433517,0.4684786,0.60963714,0.06669471
90,0.22479501,0.09756591,0.08944258,0.067390844,0.13535243,0.030175067
91,-0.018727342,0.12620342,0.017956283,0.007523426,-0.036683626,0.11867999
92,0.7568785,0.23498282,0.4793945,0.30915904,0.277484,-0.07417622
93,0.44462565,0.19606332,0.23326814,0.16579635,0.2113575,0.03026697
94,0.4990101,0.3565704,0.3566288,0.24861488,0.14238128,0.107955515
95,0.79493684,0.29530856,0.29570842,0.20677988,0.49922842,0.08852868
96,1.9794471,0.8370785,0.98353004,0.7297976,0.9959171,0.10728091
97,0.9412558,0.48840797,0.5928222,0.4511102,0.3484336,0.037297755
98,0.35656098,0.19577023,0.2328836,0.17566949,0.12367737,0.020100743
99,0.9053366,0.29475906,0.35234886,0.24907169,0.55298775,0.045687377
100,0.30679548,0.1306628,0.19951288,0.15476128,0.107282594,-0.024098486
101,0.8976572,0.2830697,0.4298057,0.31288856,0.46785152,-0.029818863
102,0.085341185,-0.008785465,0.06929055,0.044137653,0.016050637,-0.052923117
103,0.90439135,0.34353834,0.45700464,0.33208194,0.4473867,0.0114564
104,1.3841345,0.37241623,0.5242628,0.3664332,0.85987175,0.005983025
105,0.15125775,0.0032006714,0.07908611,0.040468276,0.07217164,-0.037267603
106,0.18863544,0.08067408,0.113557436,0.08425529,0.075078,-0.003581211
107,2.1844277,0.95587325,1.1778371,0.8459207,1.0065906,0.10995257
108,0.045841634,0.03884949,0.02600125,0.016803814,0.019840384,0.022045678
109,1.0982277,0.41325217,0.53338784,0.34804326,0.5648399,0.06520891
110,0.14362516,0.03658808,0.082557455,0.056333028,0.0610677,-0.019744948
111,1.6031786,0.6700079,0.7136928,0.5046755,0.88948584,0.16533238
112,1.0713161,0.54439163,0.67137223,0.51481014,0.3999439,0.029581487
113,3.1037495,0.81029487,1.0015681,0.7230771,2.1021814,0.08721775
114,1.8408675,0.7848667,1.1069286,0.77398956,0.73393893,0.010877132
115,1.5252264,0.51253,0.5959197,0.4316998,0.9293066,0.08083022
116,2.9876425,1.0302273,1.4582843,1.1036022,1.5293583,-0.07337487
117,0.27755156,0.05049439,0.1210073,0.08259298,0.15654427,-0.032098588
118,0.2020655,0.11618972,0.13237569,0.094424404,0.06968981,0.021765314
119,0.7791007,0.29082254,0.35075918,0.24202895,0.42834154,0.048793584
120,0.44351974,0.18378618,0.22827008,0.1621176,0.21524966,0.021668583
121,0.17041773,0.1864566,0.13932472,0.101802625,0.031093001,0.08465398
122,0.115972675,0.07913586,0.07016258,0.05569005,0.045810096,0.023445807
123,0.8069718,0.31377634,0.41466528,0.28379458,0.3923065,0.029981762
124,0.45296416,0.22815087,0.27723128,0.19919395,0.17573288,0.02895692
125,0.014582339,0.15143444,0.045401562,0.027924487,-0.030819222,0.12350995
126,0.32197452,0.13502614,0.17790537,0.14074603,0.14406915,-0.005719885
127,2.0370903,0.77546954,0.9040187,0.6927687,1.1330717,0.08270085
128,1.2158984,0.67085224,0.7383217,0.55890834,0.47757667,0.1119439
129,1.0557325,0.5593608,0.7293251,0.5428418,0.32640737,0.01651901
130,0.01633793,0.15321352,0.018357815,0.010103279,-0.002019886,0.14311023
131,0.4010005,0.16938977,0.22763781,0.16756955,0.17336269,0.0018202215
132,1.3037745,0.48449996,0.6248994,0.4163859,0.6788751,0.06811407
133,0.19315338,0.03993133,0.067631945,0.0468392,0.12552144,-0.006907869
134,0.20295404,0.06310566,0.11668833,0.08988506,0.086265706,-0.026779406
135,0.43731537,0.22866489,0.26225212,0.18943644,0.17506325,0.039228454
136,0.55558145,0.3562878,0.32898587,0.25529426,0.22659558,0.100993544
137,0.5929385,0.25504962,0.3279369,0.22964993,0.2650016,0.025399685
138,1.2425649,0.4738047,0.63022286,0.44274512,0.61234206,0.031059593
139,1.6080128,0.57344764,0.71437824,0.54425246,0.89363456,0.02919519
140,1.4118178,0.48508257,0.5820681,0.4362424,0.8297497,0.048840165
141,1.1959351,0.35258234,0.50987625,0.34815535,0.6860589,0.004426986
142,1.1762156,0.6664857,0.7382758,0.53880894,0.43793982,0.12767678
143,0.26652113,0.13824642,0.15846014,0.10826559,0.108060986,0.029980823
144,1.752696,0.75699204,0.81798106,0.60244715,0.934715,0.15454489
145,1.3570665,0.56705135,0.6545784,0.50519496,0.7024881,0.06185639
