feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,2.1783042,1.0396966,1.7637033,1.0971534,0.41460085,-0.05745685
1,0.08094981,-0.010676657,0.08032018,0.04793601,0.00062963367,-0.058612667
2,0.1749296,0.30072308,0.1610603,0.10879134,0.0138693005,0.19193174
3,4.8584538,3.6032927,4.6797585,3.3089592,0.1786952,0.29433346
4,0.0083516175,-0.06566234,0.014390369,0.00898408,-0.0060387515,-0.07464642
5,0.11807436,0.096969,0.11208441,0.083238825,0.0059899464,0.013730176
6,0.22140563,0.17489237,0.20906143,0.14816602,0.012344196,0.02672635
7,1.9962251,1.391447,1.8727562,1.3898662,0.123468876,0.0015807152
8,1.8095831,1.2386941,1.513624,1.2153698,0.29595912,0.023324251
9,0.28982615,0.21630116,0.28834766,0.18327606,0.0014784932,0.0330251
10,0.9269944,0.6384181,0.83034104,0.59867513,0.09665334,0.039742947
11,2.3320692,1.4376942,2.0261633,1.4025848,0.30590582,0.0351094
12,0.13653769,0.10910786,0.13711324,0.100049995,-0.00057555735,0.009057865
13,2.172196,1.3116337,1.6659069,1.245981,0.506289,0.06565273
14,0.03139807,-0.009395776,0.044971354,0.03243719,-0.013573285,-0.04183297
15,3.155024,2.3565688,2.653864,2.0102568,0.50116014,0.34631205
16,0.11658839,0.035063975,0.10591392,0.055850793,0.010674469,-0.020786818
17,-0.017007338,0.022336168,0.021801513,0.01945104,-0.038808852,0.0028851274
18,0.62540525,0.44906062,0.6055144,0.45552987,0.019890845,-0.0064692497
19,0.05833114,0.067894,0.062478296,0.044046517,-0.004147157,0.02384748
20,0.07700191,0.046590224,0.08699238,0.06345527,-0.009990476,-0.016865045
21,-0.0069107073,-0.041751042,0.006110447,0.006528274,-0.013021154,-0.048279315
22,0.07086057,0.086668916,0.057038106,0.038509917,0.013822466,0.048159
23,0.13974918,0.10087766,0.12508342,0.09543875,0.014665768,0.005438909
24,1.4846077,1.1347882,1.4130183,0.97677404,0.07158935,0.15801412
25,0.114415705,0.057029113,0.09908093,0.065878764,0.0153347775,-0.008849651
26,0.050829865,0.008015236,0.059060812,0.040052094,-0.008230947,-0.032036856
27,5.3643174,4.721117,3.9606514,2.5335958,1.403666,2.1875212
28,2.093853,1.4807857,1.3553438,1.0416127,0.7385092,0.43917298
29,2.1719675,1.459781,1.8068726,1.3375891,0.3650949,0.122191906
30,-0.03606364,0.1272802,0.015123954,0.010961105,-0.051187597,0.1163191
31,0.054219343,0.022281863,0.037994374,0.03051447,0.01622497,-0.008232607
32,2.517029,1.7079831,2.3521676,1.7403622,0.16486144,-0.03237903
33,-0.013215911,0.111437075,0.011502114,0.0064909942,-0.024718024,0.10494608
