feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.43219814,0.10818046,0.10138733,0.067595534,0.33081082,0.04058493
1,0.25460678,0.039995357,0.07146157,0.048135232,0.18314521,-0.008139875
2,0.32289818,0.04587681,0.04938487,0.036771346,0.27351332,0.009105463
3,0.45363364,0.022161942,0.06446871,0.039584316,0.38916492,-0.017422374
4,0.13128567,0.030998914,0.031029804,0.024446554,0.10025586,0.006552359
5,0.29581606,0.056669176,0.08544651,0.064385645,0.21036956,-0.0077164695
6,0.27370343,0.049307205,0.07430863,0.04518885,0.19939479,0.004118353
7,0.5210132,0.02447146,0.05674191,0.042349447,0.4642713,-0.017877987
8,0.42626458,0.08221432,0.06962914,0.051547445,0.35663545,0.030666873
9,0.29924715,0.03210961,0.06118665,0.039447326,0.2380605,-0.0073377155
10,0.16374813,0.025947418,0.03532863,0.026119506,0.1284195,-0.00017208792
11,0.43134052,0.055266973,0.04861174,0.034940068,0.3827288,0.020326905
12,0.37823293,0.05289105,0.063670866,0.048794337,0.31456205,0.004096713
13,0.48540282,0.08791062,0.12555315,0.09330589,0.3598497,-0.005395271
14,0.26029083,0.033483576,0.0466126,0.03176484,0.21367823,0.0017187372
15,0.3667826,0.025872666,0.050065923,0.036530625,0.31671667,-0.010657959
16,0.34240782,0.057894308,0.06695712,0.044350218,0.2754507,0.01354409
17,0.3804448,0.076235525,0.055620432,0.04045948,0.32482436,0.035776045
18,0.43455037,0.0752101,0.07946415,0.0624834,0.3550862,0.012726702
19,0.34338066,0.03847814,0.05319258,0.04036833,0.29018807,-0.00189019
20,0.5523115,0.02703479,0.087564506,0.053316526,0.46474698,-0.026281737
21,0.37244236,0.04687513,0.05608792,0.04704222,0.31635445,-0.00016709045
22,0.43992937,0.05452947,0.08724323,0.048701268,0.35268614,0.005828202
23,0.2902631,0.011674462,0.021957403,0.017986227,0.2683057,-0.006311765
24,0.3680497,0.099953875,0.08718657,0.06449149,0.28086314,0.035462387
25,0.3046526,0.03627498,0.0506822,0.04114425,0.2539704,-0.004869271
26,0.6149658,0.09054782,0.11382417,0.08176043,0.5011416,0.008787394
