feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.036398746,0.043336023,0.047903143,0.037199263,-0.011504397,0.00613676
1,0.5569796,0.26571494,0.44208825,0.28690732,0.11489135,-0.021192372
2,0.030881261,0.021594753,0.028245365,0.021936929,0.0026358962,-0.00034217536
3,0.25598466,0.14283803,0.17403063,0.13040377,0.08195403,0.012434259
4,0.055691477,0.0424333,0.0326864,0.02269439,0.023005076,0.019738909
5,0.05193488,0.0024537581,0.044279784,0.034119703,0.0076550953,-0.031665944
6,0.03096218,0.07945316,0.03455919,0.023358399,-0.00359701,0.056094766
7,0.62480015,0.39838687,0.5232353,0.39115483,0.101564825,0.00723204
8,0.75289637,0.5373017,0.6126321,0.47203866,0.14026427,0.06526306
9,0.040452078,0.044556182,0.037074786,0.026145568,0.0033772923,0.018410614
10,-0.032118164,0.11041244,0.011425998,0.0070295013,-0.043544162,0.10338294
11,-0.026009277,0.119308524,0.017409932,0.00907685,-0.04341921,0.110231675
12,0.48622867,0.2950281,0.32841614,0.24539466,0.15781254,0.04963343
13,0.061118543,0.05429316,0.050290152,0.04080803,0.010828391,0.01348513
14,0.3270296,0.1901971,0.22254789,0.16112465,0.1044817,0.029072449
15,0.10503024,0.10780274,0.09611916,0.06570869,0.008911081,0.04209405
16,0.59202987,0.4191779,0.46576008,0.35932857,0.12626979,0.05984932
17,0.02598796,0.04118377,0.032875627,0.024075517,-0.006887667,0.017108252
18,0.055367332,0.0429573,0.045450196,0.033041403,0.009917136,0.009915896
19,0.7566315,0.53785455,0.654371,0.4836285,0.10226047,0.05422604
20,0.06005875,0.024823276,0.043777037,0.026999848,0.016281713,-0.0021765716
21,0.5655341,0.33152014,0.45053282,0.3244681,0.11500129,0.007052034
22,0.9662449,0.6174145,0.86440694,0.61845094,0.10183793,-0.0010364652
23,0.042234115,0.028686352,0.038836822,0.022936648,0.0033972934,0.0057497043
24,0.9119636,0.41247946,0.5608315,0.3780324,0.3511321,0.034447074
25,0.7290776,0.498468,0.6273916,0.46186396,0.101686,0.036604047
26,0.7170276,0.34793594,0.47549576,0.3261491,0.24153185,0.021786839
27,0.7886096,0.4851759,0.65699214,0.44705388,0.13161749,0.038122028
28,0.05008919,0.033543263,0.041484084,0.015996186,0.008605108,0.017547077
29,0.14832836,0.09296562,0.12169836,0.07472751,0.026630007,0.018238105
30,0.53306055,0.29733762,0.38174874,0.28861514,0.15131181,0.008722484
31,0.052915636,-0.002292248,0.057197094,0.036480654,-0.0042814575,-0.038772903
32,0.09273255,0.09284831,0.095243864,0.05995054,-0.002511315,0.032897767
33,0.03092259,0.07378617,0.026084607,0.021600567,0.0048379824,0.052185602
34,0.03161153,0.053464726,0.031275168,0.022871563,0.0003363602,0.030593162
35,0.17398182,0.124954395,0.15481283,0.11910716,0.019168988,0.005847238
36,1.2796,0.8578443,1.145702,0.8477213,0.13389802,0.010123014
37,0.008975205,-0.013252073,0.03672956,0.021054856,-0.027754355,-0.03430693
38,0.6288251,0.30245236,0.44165763,0.32300106,0.1871675,-0.020548701
39,0.048971657,0.05438974,0.044206005,0.030154495,0.004765652,0.024235247
40,0.5323883,0.31432953,0.4442276,0.3275606,0.08816072,-0.013231069
41,0.11099629,0.05616696,0.114569634,0.08239613,-0.0035733432,-0.026229165
