layer,cutoff_A,seq_gap,d,mean_a,mean_b,n_contact_edges,is_project_default
11,6.0,1,-1.1828072460842547,0.08469368517398834,0.4417290687561035,1615094,False
11,6.0,2,-1.192012283823349,0.0697488859295845,0.36173540353775024,1033508,False
11,6.0,3,-1.0990209723347573,0.0729040652513504,0.3149154782295227,684336,False
11,6.0,4,-0.7242236983417474,0.04322011023759842,0.1435472071170807,422380,False
11,6.0,5,-0.4152328424023034,0.03511907532811165,0.08497478067874908,360800,False
11,6.0,6,-0.337960242178028,0.02882966957986355,0.064775250852108,338064,False
11,6.0,7,-0.24988471426925238,0.027476375922560692,0.05376351997256279,324180,False
11,6.0,8,-0.21399090333592394,0.025735843926668167,0.04712752625346184,314036,False
11,6.0,9,-0.17334181748559127,0.02537190355360508,0.04233453795313835,305438,False
11,6.0,10,-0.1364572145094742,0.02475028671324253,0.03813526779413223,297760,False
11,6.0,12,-0.0738819699801992,0.023932766169309616,0.030895788222551346,283318,False
11,6.0,14,-0.01924536357208763,0.022376161068677902,0.024170909076929092,270152,False
11,6.0,16,0.023983274429955046,0.02094978839159012,0.018697496503591537,258236,False
11,6.0,20,0.09851691040835264,0.01893499121069908,0.010216349735856056,236698,False
11,6.0,24,0.18895906063130688,0.015837963670492172,0.0008362062508240342,212834,False
11,6.0,30,0.3430221780678677,0.013433894142508507,-0.011251186951994896,177808,False
14,6.0,1,-1.5251544595846587,0.06565433740615845,0.5175919532775879,1615094,False
14,6.0,2,-1.5457471102862193,0.0544973723590374,0.42790594696998596,1033508,False
14,6.0,3,-1.4570638961110796,0.06151559203863144,0.3712617754936218,684336,False
14,6.0,4,-1.1927973165547456,0.03527992591261864,0.16902777552604675,422380,False
14,6.0,5,-0.7843120688887096,0.02933952771127224,0.09857609868049622,360800,False
14,6.0,6,-0.6094612181468578,0.025192469358444214,0.07520069926977158,338064,False
14,6.0,7,-0.5034875314135053,0.02342044934630394,0.06284745037555695,324180,False
14,6.0,8,-0.41354681294741186,0.02277984656393528,0.05491623282432556,314036,False
14,6.0,9,-0.3522979478089115,0.022152448073029518,0.0492352657020092,305438,False
14,6.0,10,-0.30184816297215217,0.021925248205661774,0.04437030851840973,297760,False
14,6.0,12,-0.21897126591796895,0.020712299272418022,0.03597784787416458,283318,False
14,6.0,14,-0.12297435311068185,0.01974337361752987,0.02817687951028347,270152,False
14,6.0,16,-0.03777122790693432,0.019039353355765343,0.021642792969942093,258236,False
14,6.0,20,0.08961606464492089,0.0170388575643301,0.011052532121539116,236698,False
14,6.0,24,0.23374261876504762,0.014217575080692768,-9.510065137874335e-05,212834,False
14,6.0,30,0.455396129398349,0.012024596333503723,-0.014487819746136665,177808,False
18,6.0,1,-1.830777776482454,0.05327409505844116,0.5777895450592041,1615094,False
18,6.0,2,-1.8549819753642192,0.04578275606036186,0.4669686257839203,1033508,False
18,6.0,3,-1.7544885102721233,0.05486438423395157,0.3975308835506439,684336,False
18,6.0,4,-1.400301988071626,0.030240392312407494,0.17866700887680054,422380,False
18,6.0,5,-0.9028168516023198,0.025960838422179222,0.10384247452020645,360800,False
18,6.0,6,-0.7083998913493295,0.022437090054154396,0.0795271173119545,338064,False
18,6.0,7,-0.5676157332152054,0.020938294008374214,0.06649992614984512,324180,False
18,6.0,8,-0.49831333152809243,0.0201279129832983,0.05839409679174423,314036,False
18,6.0,9,-0.4381282020034982,0.020224163308739662,0.05263395980000496,305438,False
18,6.0,10,-0.3770859235558415,0.02000763639807701,0.047552138566970825,297760,False
18,6.0,12,-0.2645525214751446,0.01996060647070408,0.038756005465984344,283318,False
18,6.0,14,-0.1689310836860931,0.018683036789298058,0.030497033149003983,270152,False
18,6.0,16,-0.07831338737562524,0.018130749464035034,0.0235430970788002,258236,False
18,6.0,20,0.07158952060957384,0.016634250059723854,0.011835240758955479,236698,False
18,6.0,24,0.23876216464346053,0.014937165193259716,-0.00014357858162838966,212834,False
18,6.0,30,0.4827132341602176,0.013112246990203857,-0.015120578929781914,177808,False
